Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,3,0,1140.2815000001283,1150.4813666676152,1140.2815000001283,1168.6016000021482,14287.0,0.008533861548898361,0.0,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200
POST,auth:login_submit,3,0,1000.0,1016.0595333327365,712.6393999969878,1329.746100000193,0.0,0.008533861548898361,0.0,1000,1000,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,ctx:agente_programas,3,0,410.0,420.6240333332971,178.97179999999935,674.1309999997611,604.0,0.008533861548898361,0.0,410,410,670,670,670,670,670,670,670,670,670
GET,ctx:focalizaciones,18,0,190.0,222.17811111113406,166.86919999847305,330.3641999991669,22.666666666666668,0.051203169293390166,0.0,190,220,280,300,310,330,330,330,330,330,330
GET,ctx:modalidad_pool_probe,3,0,810.0,1565.171599999303,311.4490999978443,3577.4817999990773,31.0,0.008533861548898361,0.0,810,810,3600,3600,3600,3600,3600,3600,3600,3600,3600
GET,ctx:sedes_completas,18,0,180.0,208.99593333383058,176.90740000034566,294.1635999995924,543.6666666666666,0.051203169293390166,0.0,190,200,240,270,280,290,290,290,290,290,290
GET,heavy:facturacion_pdf_asistencia,26,0,880.0,7885.041711538389,462.1514999998908,29272.770400002628,76172.38461538461,0.0739601334237858,0.0,940,4700,15000,22000,26000,28000,29000,29000,29000,29000,29000
GET,heavy:facturacion_zip_masivo,18,0,36000.0,42086.280161110655,17959.78660000037,83185.29330000092,8328022.333333333,0.051203169293390166,0.0,36000,39000,54000,56000,57000,83000,83000,83000,83000,83000,83000
,Aggregated,92,0,670.0,10682.415976086939,166.86919999847305,83185.29330000092,1651520.043478261,0.26170508749954974,0.0,680,1100,22000,28000,36000,54000,57000,83000,83000,83000,83000
